央视,#genre#    
CCTV-1综合,http://www.baopiqi.top:4022/udp/239.45.3.145:5140
CCTV-2财经,http://www.baopiqi.top:4022/udp/239.45.0.1:5140
CCTV-3综艺,http://www.baopiqi.top:4022/udp/239.45.1.68:5140
CCTV-4中文国际,http://www.baopiqi.top:4022/udp/239.45.0.2:5140
CCTV-5体育,http://www.baopiqi.top:4022/udp/239.45.1.69:5140
CCTV-5+体育赛事,http://www.baopiqi.top:4022/udp/239.45.0.34:5140
CCTV-6电影,http://www.baopiqi.top:4022/udp/239.45.1.70:5140
CCTV-7国防军事,http://www.baopiqi.top:4022/udp/239.45.3.56:5140
CCTV-8电视剧,http://www.baopiqi.top:4022/udp/239.45.1.71:5140
CCTV-9纪录,http://www.baopiqi.top:4022/udp/239.45.3.4:5140
CCTV-10科教,http://www.baopiqi.top:4022/udp/239.45.3.8:5140
CCTV-11戏曲,http://www.baopiqi.top:4022/udp/239.45.0.18:5140
CCTV-12社会与法,http://www.baopiqi.top:4022/udp/239.45.3.10:5140
CCTV-13新闻,http://www.baopiqi.top:4022/udp/239.45.0.19:5140
CCTV-14少儿,http://www.baopiqi.top:4022/udp/239.45.3.23:5140
CCTV-15音乐,http://www.baopiqi.top:4022/udp/239.45.0.20:5140
CCTV-16奥林匹克,http://www.baopiqi.top:4022/udp/239.45.0.10:5140
CCTV-16奥林匹克,http://www.baopiqi.top:4022/udp/239.45.0.12:5140
CCTV-17农业农村,http://www.baopiqi.top:4022/udp/239.45.3.52:5140
CETV-1,http://www.baopiqi.top:4022/udp/239.45.1.125:5140
CETV-4,http://www.baopiqi.top:4022/udp/239.45.0.21:5140

CCTV-1综合,http://117.190.144.101:9901/tsfile/live/0001_1.m3u8
CCTV-2财经,http://117.190.144.101:9901/tsfile/live/0002_1.m3u8
CCTV-3综艺,http://117.190.144.101:9901/tsfile/live/0003_1.m3u8
CCTV-4中文国际,http://117.190.144.101:9901/tsfile/live/0004_1.m3u8
CCTV-5体育,http://117.190.144.101:9901/tsfile/live/0005_1.m3u8
CCTV-5+体育赛事,http://117.190.144.101:9901/tsfile/live/0018_1.m3u8
CCTV-6电影,http://117.190.144.101:9901/tsfile/live/0006_1.m3u8
CCTV-7国防军事,http://117.190.144.101:9901/tsfile/live/0007_1.m3u8
CCTV-8电视剧,http://117.190.144.101:9901/tsfile/live/0008_1.m3u8
CCTV-9纪录,http://117.190.144.101:9901/tsfile/live/0009_1.m3u8
CCTV-10科教,http://117.190.144.101:9901/tsfile/live/0010_1.m3u8
CCTV-11戏曲,http://117.190.144.101:9901/tsfile/live/0011_1.m3u8
CCTV-12社会与法,http://117.190.144.101:9901/tsfile/live/0012_1.m3u8
CCTV-13新闻,http://117.190.144.101:9901/tsfile/live/0013_1.m3u8
CCTV-14少儿,http://117.190.144.101:9901/tsfile/live/0014_1.m3u8
CCTV-15音乐,http://117.190.144.101:9901/tsfile/live/0015_1.m3u8
CCTV-16奥林匹克,http://117.190.144.101:9901/tsfile/live/0016_1.m3u8
CCTV-17农业农村,http://117.190.144.101:9901/tsfile/live/0017_1.m3u8
CETV-1,http://117.190.144.101:9901/tsfile/live/1078_1.m3u8
CETV-4,http://117.190.144.101:9901/tsfile/live/1079_1.m3u8
CGTN纪录,http://117.190.144.101:9901/tsfile/live/1083_1.m3u8
CGTN,http://117.190.144.101:9901/tsfile/live/1073_1.m3u8

CCTV-1综合,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV-2财经,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-3综艺,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV-4中文国际,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV-5体育,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5+体育赛事,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV-6电影,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV-7国防军事,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV-8电视剧,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV-9纪录,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV-10科教,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV-11戏曲,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV-12社会与法,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV-13新闻,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV-14少儿,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV-15音乐,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV-16奥林匹克,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV-17农业农村,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8

CCTV-1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
